# Wavelength [nm]	Power [dBm]
1506.2800000000	-72.4161096000
1506.2820000000	-73.4119577000
1506.2840000000	-76.5336637000
1506.2860000000	-82.8793583000
1506.2880000000	-78.2392552000
1506.2900000000	-74.1015082000
1506.2920000000	-73.1951857000
1506.2940000000	-75.1207007000
1506.2960000000	-89.1754498000
1506.2980000000	-100.0000000000
1506.3000000000	-76.7333988000
1506.3020000000	-75.0686058000
1506.3040000000	-79.0000392000
1506.3060000000	-100.0000000000
1506.3080000000	-100.0000000000
1506.3100000000	-100.0000000000
1506.3120000000	-77.2184132000
1506.3140000000	-77.2846123000
1506.3160000000	-100.0000000000
1506.3180000000	-100.0000000000
1506.3200000000	-100.0000000000
1506.3220000000	-100.0000000000
1506.3240000000	-100.0000000000
1506.3260000000	-75.8717990000
1506.3280000000	-75.4885568000
1506.3300000000	-79.7606396000
1506.3320000000	-86.9921575000
1506.3340000000	-78.6226305000
1506.3360000000	-73.9926180000
1506.3380000000	-71.6205061000
1506.3400000000	-71.0169828000
1506.3420000000	-72.0215935000
1506.3440000000	-73.0167387000
1506.3460000000	-72.2127512000
1506.3480000000	-70.9605200000
1506.3500000000	-69.9774090000
1506.3520000000	-69.2497668000
1506.3540000000	-68.7550549000
1506.3560000000	-68.1923256000
1506.3580000000	-67.7106882000
1506.3600000000	-67.7293380000
1506.3620000000	-68.2990888000
1506.3640000000	-69.3810343000
1506.3660000000	-70.5316870000
1506.3680000000	-70.2254275000
1506.3700000000	-68.8999609000
1506.3720000000	-68.2588916000
1506.3740000000	-68.8983673000
1506.3760000000	-71.2242671000
1506.3780000000	-74.6294538000
1506.3800000000	-73.8244560000
1506.3820000000	-71.0555631000
1506.3840000000	-69.4163105000
1506.3860000000	-68.8065322000
1506.3880000000	-69.4740891000
1506.3900000000	-71.6823933000
1506.3920000000	-75.3535427000
1506.3940000000	-77.3631418000
1506.3960000000	-73.9907110000
1506.3980000000	-70.8524392000
1506.4000000000	-69.2060934000
1506.4020000000	-68.5784095000
1506.4040000000	-68.5330437000
1506.4060000000	-68.3923272000
1506.4080000000	-67.7563451000
1506.4100000000	-67.0584217000
1506.4120000000	-66.7167593000
1506.4140000000	-67.0779173000
1506.4160000000	-68.1772555000
1506.4180000000	-69.2853742000
1506.4200000000	-69.6012637000
1506.4220000000	-69.3530220000
1506.4240000000	-68.9687387000
1506.4260000000	-68.8876284000
1506.4280000000	-69.8261797000
1506.4300000000	-72.4408416000
1506.4320000000	-78.9195211000
1506.4340000000	-100.0000000000
1506.4360000000	-100.0000000000
1506.4380000000	-100.0000000000
1506.4400000000	-100.0000000000
1506.4420000000	-100.0000000000
1506.4440000000	-79.1201873000
1506.4460000000	-74.5312995000
1506.4480000000	-75.6319742000
1506.4500000000	-100.0000000000
1506.4520000000	-100.0000000000
1506.4540000000	-100.0000000000
1506.4560000000	-100.0000000000
1506.4580000000	-100.0000000000
1506.4600000000	-83.1764976000
1506.4620000000	-76.9215926000
1506.4640000000	-74.5701318000
1506.4660000000	-72.9541137000
1506.4680000000	-71.8505336000
1506.4700000000	-71.3227073000
1506.4720000000	-71.5449954000
1506.4740000000	-72.5654696000
1506.4760000000	-72.9119521000
1506.4780000000	-71.3646704000
1506.4800000000	-69.9910922000
1506.4820000000	-69.6842743000
1506.4840000000	-70.3129342000
1506.4860000000	-71.6295260000
1506.4880000000	-73.1041749000
1506.4900000000	-72.9676748000
1506.4920000000	-70.6341730000
1506.4940000000	-68.5122372000
1506.4960000000	-67.5797233000
1506.4980000000	-67.8500031000
1506.5000000000	-68.6264992000
1506.5020000000	-68.6344065000
1506.5040000000	-68.0350661000
1506.5060000000	-67.6150540000
1506.5080000000	-67.7725446000
1506.5100000000	-68.4311123000
1506.5120000000	-68.6697443000
1506.5140000000	-68.4230989000
1506.5160000000	-68.2704765000
