# Wavelength [nm]	Power [dBm]
1531.3780000000	-83.0477558000
1531.3800000000	-84.6039292000
1531.3820000000	-85.1555974000
1531.3840000000	-85.3997677000
1531.3860000000	-86.6098858000
1531.3880000000	-87.0221623000
1531.3900000000	-85.1606204000
1531.3920000000	-83.6641912000
1531.3940000000	-83.6176235000
1531.3960000000	-83.7087790000
1531.3980000000	-82.6296295000
1531.4000000000	-81.8297213000
1531.4020000000	-81.7440984000
1531.4040000000	-81.9834737000
1531.4060000000	-81.9637582000
1531.4080000000	-82.6679578000
1531.4100000000	-84.0231515000
1531.4120000000	-83.5012421000
1531.4140000000	-83.0882503000
1531.4160000000	-83.4448151000
1531.4180000000	-83.8429968000
1531.4200000000	-84.0670047000
1531.4220000000	-83.7278747000
1531.4240000000	-83.7413212000
1531.4260000000	-83.6416126000
1531.4280000000	-83.8956274000
1531.4300000000	-84.6845046000
1531.4320000000	-85.3789818000
1531.4340000000	-86.3435443000
1531.4360000000	-87.0032648000
1531.4380000000	-87.6882443000
1531.4400000000	-90.9411599000
1531.4420000000	-100.0000000000
1531.4440000000	-100.0000000000
1531.4460000000	-100.0000000000
1531.4480000000	-100.0000000000
1531.4500000000	-100.0000000000
1531.4520000000	-100.0000000000
1531.4540000000	-100.0000000000
1531.4560000000	-100.0000000000
1531.4580000000	-100.0000000000
1531.4600000000	-100.0000000000
1531.4620000000	-100.0000000000
1531.4640000000	-100.0000000000
1531.4660000000	-100.0000000000
1531.4680000000	-100.0000000000
1531.4700000000	-100.0000000000
1531.4720000000	-100.0000000000
1531.4740000000	-100.0000000000
1531.4760000000	-100.0000000000
1531.4780000000	-100.0000000000
1531.4800000000	-100.0000000000
1531.4820000000	-100.0000000000
1531.4840000000	-100.0000000000
1531.4860000000	-100.0000000000
1531.4880000000	-100.0000000000
1531.4900000000	-100.0000000000
1531.4920000000	-100.0000000000
1531.4940000000	-100.0000000000
1531.4960000000	-100.0000000000
1531.4980000000	-100.0000000000
1531.5000000000	-100.0000000000
1531.5020000000	-100.0000000000
1531.5040000000	-100.0000000000
1531.5060000000	-100.0000000000
1531.5080000000	-100.0000000000
1531.5100000000	-100.0000000000
1531.5120000000	-100.0000000000
1531.5140000000	-100.0000000000
1531.5160000000	-100.0000000000
1531.5180000000	-100.0000000000
1531.5200000000	-100.0000000000
1531.5220000000	-100.0000000000
1531.5240000000	-100.0000000000
1531.5260000000	-94.3128654000
1531.5280000000	-88.2595135000
1531.5300000000	-88.8055767000
1531.5320000000	-100.0000000000
1531.5340000000	-100.0000000000
1531.5360000000	-98.2977062000
1531.5380000000	-93.0654803000
1531.5400000000	-96.0832376000
1531.5420000000	-93.7928188000
1531.5440000000	-88.8397754000
1531.5460000000	-87.6264276000
1531.5480000000	-85.0295139000
1531.5500000000	-83.6164489000
1531.5520000000	-83.4155460000
1531.5540000000	-83.0093200000
1531.5560000000	-82.5553080000
1531.5580000000	-83.4216350000
1531.5600000000	-84.7642778000
1531.5620000000	-84.7683563000
1531.5640000000	-84.1249796000
1531.5660000000	-83.3564772000
1531.5680000000	-82.2241022000
1531.5700000000	-81.3513776000
1531.5720000000	-80.7368531000
1531.5740000000	-80.4997912000
1531.5760000000	-80.5077451000
1531.5780000000	-80.5941735000
1531.5800000000	-80.8335431000
1531.5820000000	-80.5618740000
1531.5840000000	-79.8915532000
1531.5860000000	-79.8912153000
1531.5880000000	-80.0340443000
1531.5900000000	-80.1347648000
1531.5920000000	-79.7562015000
1531.5940000000	-79.4977576000
1531.5960000000	-79.7369159000
1531.5980000000	-80.0442996000
1531.6000000000	-80.3850148000
1531.6020000000	-80.9106521000
1531.6040000000	-81.7454704000
1531.6060000000	-81.3094775000
1531.6080000000	-80.1689775000
1531.6100000000	-79.8377429000
1531.6120000000	-80.3320394000
1531.6140000000	-80.9197669000
1531.6160000000	-81.1902546000
1531.6180000000	-81.9666055000
1531.6200000000	-82.8462626000
1531.6220000000	-84.1434471000
1531.6240000000	-87.0921615000
1531.6260000000	-90.0863231000
1531.6280000000	-89.1588578000
1531.6300000000	-87.2388770000
1531.6320000000	-86.9254906000
1531.6340000000	-89.1169206000
1531.6360000000	-89.8211028000
1531.6380000000	-86.9687967000
1531.6400000000	-84.8015376000
1531.6420000000	-85.3478997000
1531.6440000000	-87.1478665000
1531.6460000000	-88.6582422000
1531.6480000000	-96.8376821000
1531.6500000000	-100.0000000000
1531.6520000000	-100.0000000000
1531.6540000000	-93.4690999000
1531.6560000000	-94.3173954000
